symbol,market,strategy_name,filter,htf,ltf,rr,parameter_set,start_date,end_date,search_bars,return_pct,maxdd_pct,avg_drawdown_pct,max_drawdown_duration,trades,winrate_pct,sharpe,sortino,calmar,max_consecutive_losses,profit_factor,wins,losses,net_profit,gross_profit,gross_loss,worst_trade,best_trade,avg_win,avg_loss,avg_win_loss_ratio,expectancy,avg_trade,median_trade,long_trades,short_trades,long_return,short_return,long_profit_factor,short_profit_factor,max_loss_streak,final_equity,sample,stability_score,grade
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,5m,4.0,1h->5m_RR4,2021-05-28 00:00,2026-05-28 00:00,50,303.796373613336,-39.42552743381695,-13.873909956877641,415,1224,22.712418300653596,1.0125770310284559,2.4138331401733093,0.8168658108995979,24,1.159180844954669,278,946,30379.637361333604,221229.46838205075,190849.8310207172,-438.4626680172112,1686.3948769892738,795.7894546116934,-201.74400742147694,3.9445506450615717,24.81996516448821,24.81996516448821,-177.46385104686345,608,616,304.33757144328916,-0.5411978299535112,1.3340673621967094,0.9994574412761262,24,40379.6373613336,FULL,22.195881891535457,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,3m,3.5,2h->3m_RR3.5,2021-05-28 00:00,2026-05-28 00:00,50,59.76380919746993,-29.195758852724445,-13.334439366189116,412,922,23.752711496746205,0.488130598612342,1.0711265603347604,0.336521836773396,20,1.0702714651442022,219,703,5976.380919746993,91023.43248588478,85047.05156613776,-181.57158370916824,614.0101864561201,415.6321118076931,-120.97731374984033,3.435620273956047,6.481974967187658,6.481974967187658,-105.84493360950229,448,474,67.88805974342195,-8.124250545951734,1.1691250173581993,0.9819084376545482,20,15976.380919746993,FULL,21.369599250866155,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,5m,3.0,1h->5m_RR3,2021-05-28 00:00,2026-05-28 00:00,50,126.82977299774146,-49.84267973436702,-17.44714192902527,537,1357,26.89756816507001,0.7047734507012283,1.4626018362522277,0.3571479329887068,16,1.0824701938001329,365,992,12682.977299774146,166471.5973497208,153788.6200499467,-248.04388497945192,722.4579174158794,456.08656808142683,-155.0288508568011,2.941946389725292,9.346335519361906,9.346335519361906,-138.46975099864562,672,685,158.13069882240393,-31.300925824662897,1.2156893352390405,0.9611045502255988,16,22682.977299774146,FULL,21.14400442958231,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,5m,2.5,1h->5m_RR2.5,2021-05-28 00:00,2026-05-28 00:00,50,110.62893330184029,-49.38013680904715,-16.580544674149774,545,1440,30.416666666666668,0.680485868692855,1.3139953050947746,0.3253937963886041,16,1.0795984172475255,438,1002,11062.89333018403,150046.7288476912,138983.83551750722,-215.2782882776886,525.0689957992405,342.5724402915324,-138.7064226721629,2.469766242196394,7.682564812627773,7.682564812627773,-125.56950582097588,716,724,114.3829029802775,-3.753969678437558,1.170614725478994,0.9947819642764011,16,21062.89333018403,FULL,20.194950166950633,C
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,3m,3.0,2h->3m_RR3,2021-05-28 00:00,2026-05-28 00:00,50,60.14733606740781,-31.83001300225688,-14.057173765567466,440,966,26.60455486542443,0.5044874899714659,1.0413897472282847,0.31032648149365666,20,1.0744085171607372,257,709,6014.733606740781,86848.67354063016,80833.93993388936,-179.29217856414326,522.2102288276017,337.93258187015624,-114.0111987784053,2.9640297224395433,6.2264323051146935,6.2264323051146935,-97.14322486636145,474,492,67.64917771531123,-7.501841647903284,1.1762309706820535,0.9823266860057477,20,16014.733606740781,FULL,19.933525913018173,D
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,3m,3.5,1h->3m_RR3.5,2021-05-28 00:00,2026-05-28 00:00,50,115.02239961693105,-47.979307212582576,-22.631350543032088,1028,1463,23.78673957621326,0.6283709039391129,1.3795724619963647,0.34490438923015704,21,1.0835625419993757,348,1115,11502.239961693107,149150.51736544943,137648.2774037563,-244.75192559616846,827.6635165087823,428.59344070531444,-123.45136986883973,3.471759294049724,7.862091566434133,7.862091566434133,-112.2052268012751,744,719,102.19989064718955,12.822508969741806,1.1469655677110868,1.0188266594374384,21,21502.239961693107,FULL,18.468466954885443,D
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,5m,2.0,1h->5m_RR2,2021-05-28 00:00,2026-05-28 00:00,50,50.35601272521586,-53.242731662068685,-18.897268164823007,597,1504,34.57446808510638,0.45247206044002614,0.7984269791358293,0.15964278716016858,12,1.0421435724575534,520,984,5035.601272521586,124522.41690955448,119486.81563703287,-169.3593288924614,332.07711547541453,239.46618636452786,-121.42969068804153,1.9720562986504473,3.3481391439638393,3.3481391439638393,-102.81343716852723,753,751,90.7089228811864,-40.35291015597024,1.1575523605058216,0.9348231917084231,12,15035.601272521586,FULL,17.688547228682722,D
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,5m,3.5,1h->5m_RR3.5,2021-05-28 00:00,2026-05-28 00:00,50,189.2499835233516,-37.31241336115424,-16.07568456781004,434,1261,24.50436161776368,0.8423441013631896,1.8771372153622659,0.634395758354928,24,1.1154324322036278,309,952,18924.99835233516,182873.70835569614,163948.71000336096,-317.1243059449004,1072.4010345962815,591.824298885748,-172.21503151613547,3.43654263902218,15.007928907482293,15.007928907482293,-162.09271272893753,626,635,230.877701680508,-41.62771815715631,1.2943157406245884,0.9513143903308537,24,28924.99835233516,FULL,16.02642841186507,D
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,1h,15m,4.0,1h->15m_RR4,2021-05-28 00:00,2026-05-28 00:00,50,59.39576014919312,-43.87159994449043,-18.880326401324563,548,738,21.680216802168022,0.4950809826361708,1.1533802115716356,0.22279460624831451,23,1.0984109448829853,160,578,5939.576014919312,66294.40770545628,60354.831690536994,-164.27488861597624,631.8264946768318,414.34004815910174,-104.42012403207093,3.9680095383897838,8.04820598227546,8.04820598227546,-97.62542862613411,368,370,68.50694201984177,-9.11118187064888,1.233894952059517,0.9706707880137317,23,15939.576014919312,FULL,15.545745065484894,D
XAUUSD,Dukascopy XAUUSD mid OHLC,HTF Liquidity Sweep + LTF CISD 50% Limit Entry,BASE,2h,3m,2.0,2h->3m_RR2,2021-05-28 00:00,2026-05-28 00:00,50,10.834391392730769,-35.067237543388366,-16.089486027853866,474,1068,33.98876404494382,0.20215156339390977,0.35372801903997686,0.059284260855225916,15,1.0154233166653064,363,705,1083.4391392730777,71330.27143768562,70246.83229841253,-138.5912373045738,271.7475241266153,196.50212517268764,-99.6408968771809,1.9721031356722891,1.0144561229148674,1.0144561229148674,-94.41332961636334,527,541,28.264358672042977,-17.42996727931219,1.0836740928103497,0.9522044064669432,15,11083.439139273078,FULL,15.433759813326269,D
